epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,318.644,0.83915,1.8265,1.28986,0.87677,0.39973,0.59726,0.38706,1.07152,3.08776,1.5158,0.000653595,0.000653595,0.000653595
2,638.763,0.89919,1.44209,1.30328,0.55506,0.47566,0.44756,0.22004,1.67934,2.51865,2.39315,0.00130283,0.00130283,0.00130283
3,943.948,1.0268,1.35178,1.3653,0.3251,0.21348,0.18263,0.07345,2.09858,4.71961,2.83445,0.00193447,0.00193447,0.00193447
4,1227.78,0.93367,1.13518,1.31031,0.79015,0.52809,0.62274,0.42184,1.35108,2.00158,1.91265,0.0019208,0.0019208,0.0019208
5,1549.34,1.00102,1.12161,1.35097,0.68731,0.59273,0.64104,0.38821,1.27654,1.76855,1.6861,0.0018944,0.0018944,0.0018944
6,1846.97,0.89233,0.97649,1.28988,0.68407,0.70037,0.71823,0.53171,1.07236,1.25898,1.54136,0.001868,0.001868,0.001868
7,2121.84,0.87525,0.9173,1.26984,0.82034,0.74906,0.80236,0.62848,0.90466,1.3135,1.32098,0.0018416,0.0018416,0.0018416
8,2649.71,0.89081,0.95,1.2679,0.45631,0.397,0.34619,0.13899,2.32949,2.5846,3.93157,0.0018152,0.0018152,0.0018152
9,3081.04,0.88094,0.92419,1.27088,0.60874,0.45452,0.46456,0.24145,1.62795,2.11938,2.10797,0.0017888,0.0017888,0.0017888
10,5567.83,0.83493,0.86216,1.24625,0.84229,0.72659,0.79578,0.60606,0.96056,1.20647,1.43136,0.0017624,0.0017624,0.0017624
11,5863.13,0.78699,0.79909,1.21652,0.29747,0.31461,0.26167,0.14317,1.68916,2.5062,2.20239,0.001736,0.001736,0.001736
12,6174.52,0.77631,0.76953,1.21828,0.83408,0.71536,0.80981,0.66686,0.82471,0.97019,1.29504,0.0017096,0.0017096,0.0017096
13,6482.88,0.7968,0.7942,1.22755,0.90947,0.74532,0.84392,0.69969,0.81183,0.81997,1.27684,0.0016832,0.0016832,0.0016832
14,6797.82,0.79752,0.76271,1.22249,0.85716,0.74168,0.82804,0.66645,0.9057,1.00074,1.32824,0.0016568,0.0016568,0.0016568
15,7119.01,0.73279,0.7465,1.18622,0.89553,0.73783,0.84799,0.70746,0.80488,0.84923,1.26299,0.0016304,0.0016304,0.0016304
16,7388.74,0.73443,0.74082,1.17812,0.67022,0.50999,0.567,0.3668,1.2692,2.1767,1.82953,0.001604,0.001604,0.001604
17,7658.5,0.71845,0.70243,1.16104,0.89992,0.77456,0.84765,0.73375,0.70597,0.819,1.18232,0.0015776,0.0015776,0.0015776
18,7926.88,0.68916,0.67287,1.17561,0.88798,0.79401,0.86637,0.75463,0.71177,0.7628,1.21986,0.0015512,0.0015512,0.0015512
19,8194.55,0.70777,0.69769,1.174,0.88776,0.77154,0.86443,0.71377,0.75931,0.8002,1.23299,0.0015248,0.0015248,0.0015248
20,8463.24,0.69766,0.67677,1.17195,0.9415,0.73783,0.861,0.74015,0.71818,0.8487,1.16556,0.0014984,0.0014984,0.0014984
21,8730.37,0.68841,0.69065,1.13985,0.89515,0.77903,0.87011,0.7582,0.70924,0.80025,1.19442,0.001472,0.001472,0.001472
22,8996.92,0.6711,0.63836,1.15087,0.92716,0.74906,0.8828,0.75487,0.71856,0.78143,1.19518,0.0014456,0.0014456,0.0014456
23,9266.84,0.63854,0.62021,1.12863,0.89457,0.74906,0.83718,0.74456,0.68518,0.86658,1.20423,0.0014192,0.0014192,0.0014192
24,9536.69,0.68715,0.66343,1.15956,0.90238,0.75281,0.83362,0.71341,0.776,0.95391,1.28572,0.0013928,0.0013928,0.0013928
25,9803.59,0.63379,0.61465,1.12021,0.929,0.76404,0.8691,0.77559,0.65157,0.7988,1.15665,0.0013664,0.0013664,0.0013664
26,10072.5,0.63945,0.60455,1.12767,0.90316,0.82397,0.88935,0.77953,0.62689,0.7439,1.13497,0.00134,0.00134,0.00134
27,10343,0.63759,0.6147,1.12687,0.88054,0.77154,0.85594,0.76669,0.68381,0.87976,1.16807,0.0013136,0.0013136,0.0013136
28,10625.5,0.60353,0.58194,1.11217,0.92802,0.77259,0.8781,0.79537,0.57816,0.75156,1.13467,0.0012872,0.0012872,0.0012872
29,11160.4,0.61757,0.58357,1.1195,0.9027,0.83521,0.88745,0.76767,0.65727,0.74982,1.16106,0.0012608,0.0012608,0.0012608
30,11692.8,0.61492,0.57581,1.11201,0.84823,0.75354,0.81048,0.69994,0.65698,0.86913,1.17296,0.0012344,0.0012344,0.0012344
31,12223.4,0.62053,0.58052,1.11715,0.90524,0.82292,0.88141,0.78218,0.63242,0.76171,1.10387,0.001208,0.001208,0.001208
32,12757.8,0.60487,0.54014,1.09403,0.92894,0.78344,0.88421,0.78651,0.64459,0.7312,1.11109,0.0011816,0.0011816,0.0011816
33,13306.5,0.59231,0.55842,1.09506,0.93001,0.79627,0.88016,0.78518,0.60874,0.76099,1.11586,0.0011552,0.0011552,0.0011552
34,13861.6,0.61133,0.55016,1.10775,0.88303,0.82022,0.89269,0.78836,0.65036,0.76943,1.19953,0.0011288,0.0011288,0.0011288
35,14260.9,0.59398,0.53924,1.10153,0.90242,0.79666,0.88145,0.77747,0.61219,0.74132,1.08917,0.0011024,0.0011024,0.0011024
36,14576.2,0.55131,0.52249,1.0679,0.91358,0.83149,0.89171,0.79778,0.63147,0.66939,1.15582,0.001076,0.001076,0.001076
37,14896.8,0.58731,0.5536,1.09523,0.93045,0.82022,0.89805,0.79657,0.63615,0.71548,1.10188,0.0010496,0.0010496,0.0010496
38,15205.2,0.55501,0.53372,1.06007,0.88052,0.82801,0.89419,0.80717,0.63242,0.71158,1.12887,0.0010232,0.0010232,0.0010232
